NoTroncon;CenterLongitude;CenterLatitude;EmplacementCount;sNoEmplacement;longitude;latitude
363;-73.5659;45.510944;12;G590;-73.56571;45.510855
363;-73.5659;45.510944;12;G591;-73.56571;45.510855
363;-73.5659;45.510944;12;G592;-73.56558199999999;45.510795
363;-73.5659;45.510944;12;G593;-73.56558199999999;45.510795
364;-73.56459;45.51015;15;H672;-73.56517099999999;45.510428999999995
364;-73.56459;45.51015;15;H673;-73.56509399999999;45.510393
364;-73.56459;45.51015;15;H674;-73.56497900000001;45.510339
364;-73.56459;45.51015;15;H675;-73.56497900000001;45.510339
364;-73.56459;45.51015;15;H676;-73.564915;45.510309
364;-73.56459;45.51015;15;H679;-73.56466800000001;45.510183000000005
364;-73.56459;45.51015;15;H680;-73.56466800000001;45.510183000000005
364;-73.56459;45.51015;15;H681;-73.564601;45.510154
364;-73.56459;45.51015;15;H682;-73.564417;45.510067
364;-73.56459;45.51015;15;H683;-73.564417;45.510067
364;-73.56459;45.51015;15;H684;-73.564288;45.510007
364;-73.56459;45.51015;15;H685;-73.564288;45.510007
364;-73.56459;45.51015;15;H686;-73.564161;45.509947
364;-73.56459;45.51015;15;H687;-73.564161;45.509947
364;-73.56459;45.51015;15;H688;-73.564038;45.509884
365;-73.56435;45.510217;14;H695;-73.564734;45.510396
365;-73.56435;45.510217;14;H696;-73.564734;45.510396
365;-73.56435;45.510217;14;H697;-73.56460600000001;45.510337
365;-73.56435;45.510217;14;H698;-73.56460600000001;45.510337
365;-73.56435;45.510217;14;H699;-73.564477;45.510278
365;-73.56435;45.510217;14;H700;-73.564477;45.510278
365;-73.56435;45.510217;14;H701;-73.56435;45.510217
365;-73.56435;45.510217;14;H702;-73.56435;45.510217
365;-73.56435;45.510217;14;H703;-73.564222;45.510158000000004
365;-73.56435;45.510217;14;H704;-73.564222;45.510158000000004
365;-73.56435;45.510217;14;H705;-73.564094;45.510096999999995
365;-73.56435;45.510217;14;H706;-73.564094;45.510096999999995
365;-73.56435;45.510217;14;H707;-73.563965;45.510038
365;-73.56435;45.510217;14;H708;-73.563965;45.510038
366;-73.562856;45.509333;21;H712;-73.56356099999999;45.509664
366;-73.562856;45.509333;21;H713;-73.56356099999999;45.509664
366;-73.562856;45.509333;21;H714;-73.56343299999999;45.509605
366;-73.562856;45.509333;21;H715;-73.56343299999999;45.509605
366;-73.562856;45.509333;21;H716;-73.56330200000001;45.509544
366;-73.562856;45.509333;21;H717;-73.56330200000001;45.509544
366;-73.562856;45.509333;21;H718;-73.563175;45.509484
366;-73.562856;45.509333;21;H719;-73.563175;45.509484
366;-73.562856;45.509333;21;H720;-73.563047;45.509423
366;-73.562856;45.509333;21;H721;-73.563047;45.509423
366;-73.562856;45.509333;21;H722;-73.562935;45.509369
366;-73.562856;45.509333;21;H723;-73.56289699999999;45.509352
366;-73.562856;45.509333;21;H724;-73.562792;45.509303
366;-73.562856;45.509333;21;H725;-73.562792;45.509303
366;-73.562856;45.509333;21;H727;-73.56265;45.509236
366;-73.562856;45.509333;21;H731;-73.562436;45.509132
366;-73.562856;45.509333;21;H732;-73.562326;45.509085
366;-73.562856;45.509333;21;H733;-73.562289;45.509066
366;-73.562856;45.509333;21;H737;-73.561984;45.508926
366;-73.562856;45.509333;21;H738;-73.561915;45.508894
366;-73.562856;45.509333;21;H739;-73.561915;45.508894
367;-73.562965;45.509564;11;H745;-73.563251;45.509699
367;-73.562965;45.509564;11;H746;-73.563251;45.509699
367;-73.562965;45.509564;11;H747;-73.56312199999999;45.509640000000005
367;-73.562965;45.509564;11;H748;-73.56312199999999;45.509640000000005
367;-73.562965;45.509564;11;H749;-73.562995;45.509578999999995
367;-73.562965;45.509564;11;H750;-73.562995;45.509578999999995
367;-73.562965;45.509564;11;H751;-73.56286800000001;45.509516999999995
367;-73.562965;45.509564;11;H752;-73.56286800000001;45.509516999999995
367;-73.562965;45.509564;11;H753;-73.56274;45.509458
367;-73.562965;45.509564;11;H754;-73.56274;45.509458
367;-73.562965;45.509564;11;H755;-73.562668;45.509421
402;-73.56627;45.516467;24;G772;-73.567128;45.516861999999996
402;-73.56627;45.516467;24;G773;-73.567102;45.51685
402;-73.56627;45.516467;24;G774;-73.566987;45.516791999999995
402;-73.56627;45.516467;24;G775;-73.566987;45.516791999999995
402;-73.56627;45.516467;24;G778;-73.566763;45.516690999999994
402;-73.56627;45.516467;24;G779;-73.566763;45.516690999999994
402;-73.56627;45.516467;24;G780;-73.56662299999999;45.516628000000004
402;-73.56627;45.516467;24;G781;-73.56662299999999;45.516628000000004
402;-73.56627;45.516467;24;G782;-73.566488;45.516566
402;-73.56627;45.516467;24;G783;-73.566488;45.516566
402;-73.56627;45.516467;24;G784;-73.566347;45.516502
402;-73.56627;45.516467;24;G785;-73.566347;45.516502
402;-73.56627;45.516467;24;G786;-73.56620600000001;45.516438
402;-73.56627;45.516467;24;G787;-73.56620600000001;45.516438
402;-73.56627;45.516467;24;G788;-73.566075;45.516379
