sNoEmplacement,nNoTroncon,longitude,latitude
H680,364,-73.564668,45.510183
H681,364,-73.564601,45.510154
H682,364,-73.564417,45.510067
H683,364,-73.564417,45.510067
H684,364,-73.564288,45.510007
H685,364,-73.564288,45.510007
H686,364,-73.564161,45.509947
H687,364,-73.564161,45.509947
H688,364,-73.564038,45.509884
H695,365,-73.564734,45.510396
H696,365,-73.564734,45.510396
H697,365,-73.564606,45.510337
H698,365,-73.564606,45.510337
H699,365,-73.564477,45.510278
H700,365,-73.564477,45.510278
H701,365,-73.56435,45.510217
H702,365,-73.56435,45.510217
H703,365,-73.564222,45.510158
H704,365,-73.564222,45.510158
H705,365,-73.564094,45.510097
H706,365,-73.564094,45.510097
H707,365,-73.563965,45.510038
H708,365,-73.563965,45.510038
H712,366,-73.563561,45.509664
H713,366,-73.563561,45.509664
H714,366,-73.563433,45.509605
H715,366,-73.563433,45.509605
H716,366,-73.563302,45.509544
H717,366,-73.563302,45.509544
H718,366,-73.563175,45.509484
H719,366,-73.563175,45.509484
H720,366,-73.563047,45.509423
H721,366,-73.563047,45.509423
H722,366,-73.562935,45.509369
H723,366,-73.562897,45.509352
H724,366,-73.562792,45.509303
H725,366,-73.562792,45.509303
H727,366,-73.56265,45.509236
H731,366,-73.562436,45.509132
H732,366,-73.562326,45.509085
H733,366,-73.562289,45.509066
H737,366,-73.561984,45.508926
H738,366,-73.561915,45.508894
H739,366,-73.561915,45.508894
H745,367,-73.563251,45.509699
H746,367,-73.563251,45.509699
H747,367,-73.563122,45.50964
H748,367,-73.563122,45.50964
H749,367,-73.562995,45.509579
H750,367,-73.562995,45.509579
H751,367,-73.562868,45.509517
H752,367,-73.562868,45.509517
H753,367,-73.56274,45.509458
H754,367,-73.56274,45.509458
H755,367,-73.562668,45.509421
G772,402,-73.567128,45.516862
G773,402,-73.567102,45.51685
G774,402,-73.566987,45.516792
G775,402,-73.566987,45.516792
G778,402,-73.566763,45.516691
G779,402,-73.566763,45.516691
G780,402,-73.566623,45.516628
G781,402,-73.566623,45.516628
G782,402,-73.566488,45.516566
G783,402,-73.566488,45.516566
G784,402,-73.566347,45.516502
G785,402,-73.566347,45.516502
G786,402,-73.566206,45.516438
G787,402,-73.566206,45.516438
G788,402,-73.566075,45.516379
G789,402,-73.566075,45.516379
G790,402,-73.565931,45.516314
G791,402,-73.565931,45.516314
