NoTroncon;DescriptionTroncon;DateCreation;NoHeure;NbMinDispo;TxOccupation
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-24;13;1440;0,3556
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-24;14;1440;0,841
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-24;15;1440;0,8694
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-24;16;1440;0,7958
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-24;17;1440;0,6639
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-24;18;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-25;13;1440;0,4521
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-25;14;1440;0,6979
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-25;15;1440;0,766
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-25;16;1440;0,3972
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-25;17;1440;0,2708
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-25;18;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;9;1440;0,2125
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;10;1440;0,2868
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;11;1440;0,3986
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;12;1440;0,3563
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;13;1440;0,4313
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;14;1440;0,4354
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;15;1440;0,3326
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;16;1440;0,2132
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;17;1440;0,1993
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;18;1200;0,4208
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;19;1200;0,5717
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-26;20;1200;0,5158
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;9;1440;0,0403
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;10;1440;0,1271
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;11;1440;0,3139
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;12;1440;0,3556
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;13;1440;0,3576
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;14;1440;0,3944
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;15;1440;0,3688
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;16;1440;0,5465
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;17;1440;0,4889
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;18;1200;0,72
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;19;1200;0,825
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-27;20;1200;0,6467
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;9;1440;0,0986
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;10;1440;0,3528
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;11;1440;0,4819
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;12;1440;0,4431
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;13;1440;0,5146
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;14;1440;0,5632
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;15;1440;0,2583
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;16;1440;0,1236
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;17;1440;0,2299
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;18;1200;0,6317
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;19;1200;0,8742
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-28;20;1200;0,9367
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;9;1440;0,0229
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;10;1440;0,2167
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;11;1440;0,3722
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;12;1440;0,3125
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;13;1440;0,2618
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;14;1440;0,2104
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;15;1440;0,3097
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;16;1440;0,4653
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;17;1440;0,45
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;18;1200;0,5825
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;19;1200;0,8842
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-29;20;1200;1,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-30;9;1440;0,159
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-30;10;1440;0,1694
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-30;11;1440;0,1542
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-30;12;1440;0,2958
